# -- start of yaml config --
# ---
# app:
#   name: fview2-pylon
#   version: 0.20.29
#   git_hash: 40bdbc539a03f94077ff55a1471cf0c3581724fd
# camera:
#   vendor: Basler
#   model: Basler-22149787
#   serial: "22149787"
#   width: 1280
#   height: 1024
# created_at: "2019-11-07T12:42:20.295458019+01:00"
# csv_rate_limit: ~
# object_detection_cfg:
#   do_update_background_model: false
#   polarity: DetectDark
#   alpha: 0.009999999776482582
#   n_sigma: 7.0
#   bright_non_gaussian_cutoff: 255
#   bright_non_gaussian_replacement: 5
#   bg_update_interval: 200
#   diff_threshold: 10
#   use_cmp: true
#   max_num_points: 1
#   feature_window_size: 30
#   clear_fraction: 0.30000001192092898
#   despeckle_threshold: 5
#   valid_region:
#     Circle:
#       center_x: 640
#       center_y: 450
#       radius: 430
# -- end of yaml config --
time_microseconds,frame,x_px,y_px,orientation_radians_mod_pi,central_moment,led_1,led_2,led_3
1329716,655440,416.6,559.3,1.436,4477,16000,0,0
1335614,655441,416.6,559.8,1.424,4554,16000,0,0
1341551,655442,416.5,559.9,1.424,4410,16000,0,0
1347448,655443,416.6,560.1,1.417,4394,16000,0,0
1353929,655444,416.6,560.2,1.412,4519,16000,0,0
1359259,655445,416.6,560.3,1.424,4312,16000,0,0
1365195,655446,416.6,560.4,1.419,4447,16000,0,0
1371016,655447,416.7,560.5,1.396,4449,16000,0,0
1376981,655448,416.7,560.8,1.412,4484,16000,0,0
1382862,655449,416.8,561.1,1.443,4403,16000,0,0
1388758,655450,416.8,561.4,1.447,4392,16000,0,0
1397881,655451,416.9,561.7,1.437,4303,16000,0,0
1400567,655452,416.9,562.1,1.477,4311,16000,0,0
1406461,655453,417.0,562.4,1.487,4340,16000,0,0
1412483,655454,416.9,562.6,1.456,4378,16000,0,0
1418294,655455,416.9,562.9,1.454,4325,16000,0,0
1424233,655456,416.9,563.1,1.448,4346,16000,0,0
1430127,655457,416.8,563.5,1.444,4491,16000,0,0
1436057,655458,416.7,563.8,1.424,4461,16000,0,0
1441937,655459,416.7,564.2,1.431,4398,16000,0,0
1447893,655460,416.7,564.4,1.408,4322,16000,0,0
1454638,655461,416.6,564.7,1.407,4442,16000,0,0
1459630,655462,416.6,565.0,1.413,4404,16000,0,0
1465522,655463,416.5,565.4,1.434,4329,16000,0,0
1471442,655464,416.5,565.7,1.425,4391,16000,0,0
1477376,655465,416.5,566.2,1.439,4451,16000,0,0
1483310,655466,416.6,566.9,1.442,4442,16000,0,0
1489271,655467,416.7,567.3,1.467,4446,16000,0,0
1495133,655468,416.9,567.7,1.497,4469,16000,0,0
1501165,655469,416.9,568.2,1.497,4359,16000,0,0
1506908,655470,417.0,568.7,1.520,4346,16000,0,0
1512837,655471,417.0,569.3,1.500,4437,16000,0,0
1518738,655472,417.0,570.0,1.503,4295,16000,0,0
1524613,655473,416.9,570.3,1.525,4406,16000,0,0
1530499,655474,416.7,570.7,1.504,4422,16000,0,0
1536611,655475,416.6,571.0,1.495,4478,16000,0,0
1542326,655476,416.5,571.2,1.491,4389,16000,0,0
1548303,655477,416.4,571.4,1.502,4376,16000,0,0
1554166,655478,416.4,571.5,1.474,4308,16000,0,0
1560123,655479,416.4,571.9,1.496,4312,16000,0,0
1566007,655480,416.4,572.2,1.474,4468,16000,0,0
1571994,655481,416.4,572.4,1.480,4353,16000,0,0
1577770,655482,416.3,572.6,1.505,4385,16000,0,0
1583744,655483,416.3,573.0,1.522,4324,16000,0,0
1589634,655484,416.3,573.2,1.511,4184,16000,0,0
1595561,655485,416.2,573.4,1.523,4356,16000,0,0
1601423,655486,416.2,573.7,1.529,4293,16000,0,0
1607432,655487,416.1,573.9,1.532,4355,16000,0,0
1613250,655488,416.2,574.2,1.544,4277,16000,0,0
1619182,655489,416.1,574.3,1.538,4352,16000,0,0
1625062,655490,416.1,574.5,1.518,4306,16000,0,0
1631031,655491,416.0,574.6,1.504,4315,16000,0,0
1637325,655492,415.9,574.9,1.502,4333,16000,0,0
1642829,655493,415.9,575.3,1.515,4375,16000,0,0
